agent,agent_type,stress_level,baseline,paired_n,mean_did,did_ci_low,did_ci_high,permutation_p_value,q_value,cohens_d
deepseek:deepseek-v4-pro,llm,E1_default_stress,buy-and-hold,30,-0.026048974096831334,-0.04627904542842079,-0.007047446480568431,0.009,0.06599999999999999,-0.46830594966087086
mean-reversion,classical,E1_default_stress,buy-and-hold,30,-0.006752799477690641,-0.0206036149712743,0.00903897676346167,0.3885,0.5341875,-0.15374899359145447
minimum-variance,classical,E1_default_stress,buy-and-hold,30,0.005235415099577549,-0.007257016675952821,0.017816139760668783,0.413,0.5344705882352941,0.14811685620690596
naive-momentum,classical,E1_default_stress,buy-and-hold,30,-0.0036733139177324127,-0.017100292454408503,0.008184710654754885,0.5845,0.6767894736842105,-0.09988085600334314
poe:claude-opus-4.7,llm,E1_default_stress,buy-and-hold,30,-0.006581651189519954,-0.019338169104529217,0.007188785393903307,0.356,0.5341875,-0.17781019165345976
poe:gemini-3.1-pro,llm,E1_default_stress,buy-and-hold,30,-0.005433632545543906,-0.022170210703825723,0.011091910422283576,0.554,0.6767894736842105,-0.11132128944933166
poe:glm-5,llm,E1_default_stress,buy-and-hold,30,-0.0054060425789195414,-0.01584840917405277,0.006606811179551382,0.365,0.5341875,-0.17194770809153792
poe:gpt-5.5,llm,E1_default_stress,buy-and-hold,30,-0.003672383702809575,-0.016673413575418915,0.009811817385209747,0.62,0.682,-0.09976747669438567
random,classical,E1_default_stress,buy-and-hold,30,0.0024772156241360493,-0.007311403213048451,0.013189350872455378,0.655,0.6861904761904762,0.0844848086942156
risk-parity,classical,E1_default_stress,buy-and-hold,30,0.005822208724360334,-0.0041312533179459305,0.015546157456845244,0.261,0.445923076923077,0.20703523329310347
signal-weighted,classical,E1_default_stress,buy-and-hold,30,0.001441880117738222,-0.008323413760778145,0.011276391124646356,0.789,0.789,0.05120671725479595
deepseek:deepseek-v4-pro,llm,E2_harsh_corner,buy-and-hold,30,-0.04400033069938645,-0.06653519589367442,-0.02435245755433056,0.0,0.0,-0.7244109423295485
mean-reversion,classical,E2_harsh_corner,buy-and-hold,30,-0.04475655312629037,-0.065444900573862,-0.02498744218830316,0.0,0.0,-0.7837391701376522
minimum-variance,classical,E2_harsh_corner,buy-and-hold,30,-0.009522814021290424,-0.019649378851417525,0.0009152317605010304,0.1065,0.26522222222222225,-0.314198134727829
naive-momentum,classical,E2_harsh_corner,buy-and-hold,30,-0.013904844032099543,-0.02988875776925766,0.0019316010631556782,0.102,0.26522222222222225,-0.3043187060157179
poe:claude-opus-4.7,llm,E2_harsh_corner,buy-and-hold,30,-0.019369230852043583,-0.04164896421767372,0.0017568445694299089,0.0905,0.26522222222222225,-0.3143536526909456
poe:gemini-3.1-pro,llm,E2_harsh_corner,buy-and-hold,30,-0.022864458088698948,-0.05004366053596368,0.0018222890708137873,0.104,0.26522222222222225,-0.3045765710771665
poe:glm-5,llm,E2_harsh_corner,buy-and-hold,30,-0.01726549570816451,-0.04162418410600828,0.007293608745510312,0.2025,0.405,-0.24423690440367576
poe:gpt-5.5,llm,E2_harsh_corner,buy-and-hold,30,-0.014241008369155591,-0.03807431521380366,0.008325145372629591,0.2635,0.445923076923077,-0.21705866608971075
random,classical,E2_harsh_corner,buy-and-hold,30,-0.017607461172857705,-0.03455145798340487,0.004852493321225127,0.0885,0.26522222222222225,-0.3163298718823874
risk-parity,classical,E2_harsh_corner,buy-and-hold,30,-0.009612248099353245,-0.020194393092876663,0.0007124564826560691,0.1085,0.26522222222222225,-0.31195070816780557
signal-weighted,classical,E2_harsh_corner,buy-and-hold,30,-0.013063742698960787,-0.029802386401957023,0.004436162578903935,0.1335,0.2937,-0.27926017391940416
