agent,kind,risk,dose,outcome,paired_n,mean_delta,ci_low,ci_high,permutation_p_value,q_value,cohens_d
deepseek:deepseek-v4-pro,fake_rejections,max-position,0.25,hold_ratio,5,0.06944444444444445,0.008333333333333337,0.18055555555555552,0.125,0.8571428571428571,0.5572782125753529
deepseek:deepseek-v4-pro,fake_rejections,max-position,0.75,hold_ratio,5,0.10555555555555558,0.025000000000000015,0.23055555555555554,0.125,0.8571428571428571,0.7626740469646217
deepseek:deepseek-v4-pro,fake_rejections,none,0.25,hold_ratio,5,0.005555555555555531,-0.02500000000000004,0.04722222222222219,1.0,1.0,0.1189928234617454
deepseek:deepseek-v4-pro,fake_rejections,none,0.75,hold_ratio,5,0.05277777777777778,0.024999999999999994,0.08055555555555556,0.125,0.8571428571428571,1.3694249432972496
deepseek:deepseek-v4-pro,fake_violations,max-position,0.25,hold_ratio,5,0.05833333333333335,0.03888888888888888,0.08055555555555556,0.0625,0.8571428571428571,2.1834760286221524
deepseek:deepseek-v4-pro,fake_violations,max-position,0.75,hold_ratio,5,0.09722222222222221,-0.025,0.2777777777777778,0.4375,1.0,0.4818998735750599
deepseek:deepseek-v4-pro,fake_violations,none,0.25,hold_ratio,5,0.055555555555555566,0.01944444444444446,0.09166666666666667,0.125,0.8571428571428571,1.1795356492391775
deepseek:deepseek-v4-pro,fake_violations,none,0.75,hold_ratio,5,0.15277777777777776,0.01944444444444442,0.30000000000000004,0.125,0.8571428571428571,0.8524826841213411
glm:glm-5,fake_rejections,max-position,0.25,hold_ratio,5,0.01111111111111111,0.0,0.027777777777777783,0.5,1.0,0.6135719910778961
glm:glm-5,fake_rejections,max-position,0.75,hold_ratio,5,-0.005555555555555552,-0.016666666666666673,0.005555555555555564,0.75,1.0,-0.35082320772281134
glm:glm-5,fake_rejections,none,0.25,hold_ratio,5,-0.01388888888888889,-0.025,-0.002777777777777779,0.25,1.0,-1.0000000000000002
glm:glm-5,fake_rejections,none,0.75,hold_ratio,5,-0.01944444444444444,-0.03888888888888888,-0.002777777777777779,0.25,1.0,-0.8366600265340756
glm:glm-5,fake_violations,max-position,0.25,hold_ratio,5,0.019444444444444448,-0.0027777777777777735,0.05277777777777779,0.5,1.0,0.5181632471383237
glm:glm-5,fake_violations,max-position,0.75,hold_ratio,5,0.027777777777777783,0.008333333333333337,0.050000000000000024,0.125,0.8571428571428571,1.0690449676496974
glm:glm-5,fake_violations,none,0.25,hold_ratio,5,0.011111111111111117,-0.0111111111111111,0.030555555555555565,0.5,1.0,0.4159001959280293
glm:glm-5,fake_violations,none,0.75,hold_ratio,5,-0.0027777777777777735,-0.01666666666666667,0.013888888888888895,1.0,1.0,-0.1348399724926482
poe:claude-opus-4.7,fake_rejections,max-position,0.25,hold_ratio,5,-0.005555555555555555,-0.016666666666666666,0.0,1.0,1.0,-0.4472135954999579
poe:claude-opus-4.7,fake_rejections,max-position,0.75,hold_ratio,5,-0.005555555555555555,-0.016666666666666666,0.0,1.0,1.0,-0.4472135954999579
poe:claude-opus-4.7,fake_rejections,none,0.25,hold_ratio,5,-0.002777777777777779,-0.008333333333333337,0.0,1.0,1.0,-0.4472135954999579
poe:claude-opus-4.7,fake_rejections,none,0.75,hold_ratio,5,-0.005555555555555552,-0.016666666666666656,0.0,1.0,1.0,-0.4472135954999579
poe:claude-opus-4.7,fake_violations,max-position,0.25,hold_ratio,5,-0.005555555555555555,-0.016666666666666666,0.0,1.0,1.0,-0.4472135954999579
poe:claude-opus-4.7,fake_violations,max-position,0.75,hold_ratio,5,-0.005555555555555555,-0.016666666666666666,0.0,1.0,1.0,-0.4472135954999579
poe:claude-opus-4.7,fake_violations,none,0.25,hold_ratio,5,-0.002777777777777779,-0.008333333333333337,0.0,1.0,1.0,-0.4472135954999579
poe:claude-opus-4.7,fake_violations,none,0.75,hold_ratio,5,0.002777777777777779,0.0,0.008333333333333337,1.0,1.0,0.4472135954999579
poe:gemini-3.1-pro,fake_rejections,max-position,0.25,hold_ratio,5,0.008333333333333337,-0.04444444444444449,0.06111111111111116,1.0,1.0,0.12048289933537477
poe:gemini-3.1-pro,fake_rejections,max-position,0.75,hold_ratio,5,-0.005555555555555547,-0.06666666666666667,0.05833333333333337,1.0,1.0,-0.06780635036208091
poe:gemini-3.1-pro,fake_rejections,none,0.25,hold_ratio,5,-0.024999999999999994,-0.08611111111111112,0.044444444444444446,0.5625,1.0,-0.30125786715206015
poe:gemini-3.1-pro,fake_rejections,none,0.75,hold_ratio,5,0.08888888888888888,0.030555555555555548,0.1472222222222222,0.125,0.8571428571428571,1.1823502942994661
poe:gemini-3.1-pro,fake_violations,max-position,0.25,hold_ratio,5,0.04722222222222222,0.005555555555555591,0.08888888888888889,0.1875,1.0,0.8837879163470619
poe:gemini-3.1-pro,fake_violations,max-position,0.75,hold_ratio,5,0.06666666666666664,0.016666666666666618,0.12777777777777777,0.125,0.8571428571428571,0.9289355996594194
poe:gemini-3.1-pro,fake_violations,none,0.25,hold_ratio,5,0.03888888888888888,-0.008333333333333349,0.1,0.4375,1.0,0.5577733510227167
poe:gemini-3.1-pro,fake_violations,none,0.75,hold_ratio,5,0.09444444444444443,0.03611111111111111,0.13611111111111107,0.125,0.8571428571428571,1.4597518885197123
poe:glm-5,fake_rejections,max-position,0.25,hold_ratio,5,-0.016666666666666663,-0.03611111111111112,-0.0027777777777777735,0.25,1.0,-0.7302967433402209
poe:glm-5,fake_rejections,max-position,0.75,hold_ratio,5,0.0,-0.024999999999999994,0.024999999999999994,1.0,1.0,0.0
poe:glm-5,fake_rejections,none,0.25,hold_ratio,5,-0.008333333333333337,-0.01944444444444445,0.005555555555555536,0.5,1.0,-0.5262348115842179
poe:glm-5,fake_rejections,none,0.75,hold_ratio,5,-0.01111111111111111,-0.03333333333333334,0.011111111111111117,0.75,1.0,-0.3508232077228116
poe:glm-5,fake_violations,max-position,0.25,hold_ratio,5,0.011111111111111122,-0.008333333333333321,0.030555555555555565,0.5,1.0,0.44721359549995837
poe:glm-5,fake_violations,max-position,0.75,hold_ratio,5,-0.005555555555555552,-0.01111111111111111,0.0,0.5,1.0,-0.7302967433402214
poe:glm-5,fake_violations,none,0.25,hold_ratio,5,-0.005555555555555552,-0.016666666666666673,0.005555555555555564,0.75,1.0,-0.35082320772281134
poe:glm-5,fake_violations,none,0.75,hold_ratio,5,0.036111111111111115,0.008333333333333337,0.06666666666666668,0.125,0.8571428571428571,0.9623031732568869
poe:gpt-5.5,fake_rejections,max-position,0.25,hold_ratio,5,0.0,0.0,0.0,1.0,1.0,0.0
poe:gpt-5.5,fake_rejections,max-position,0.75,hold_ratio,5,0.0,0.0,0.0,1.0,1.0,0.0
poe:gpt-5.5,fake_rejections,none,0.25,hold_ratio,5,0.0,0.0,0.0,1.0,1.0,0.0
poe:gpt-5.5,fake_rejections,none,0.75,hold_ratio,5,0.0,0.0,0.0,1.0,1.0,0.0
poe:gpt-5.5,fake_violations,max-position,0.25,hold_ratio,5,0.0,0.0,0.0,1.0,1.0,0.0
poe:gpt-5.5,fake_violations,max-position,0.75,hold_ratio,5,0.0,0.0,0.0,1.0,1.0,0.0
poe:gpt-5.5,fake_violations,none,0.25,hold_ratio,5,0.0,0.0,0.0,1.0,1.0,0.0
poe:gpt-5.5,fake_violations,none,0.75,hold_ratio,5,-0.002777777777777779,-0.008333333333333337,0.0,1.0,1.0,-0.4472135954999579
deepseek:deepseek-v4-pro,fake_rejections,max-position,0.25,turnover_events,5,-0.7333333333333332,-2.9333333333333336,0.8666666666666671,0.8125,1.0,-0.28962415135273806
deepseek:deepseek-v4-pro,fake_rejections,max-position,0.75,turnover_events,5,-2.6,-4.666666666666666,-1.1333333333333342,0.0625,0.8571428571428571,-1.0900831390311476
deepseek:deepseek-v4-pro,fake_rejections,none,0.25,turnover_events,5,0.06666666666666679,-0.9333333333333329,1.0666666666666664,1.0,1.0,0.052164053095730224
deepseek:deepseek-v4-pro,fake_rejections,none,0.75,turnover_events,5,0.6666666666666664,-1.0666666666666669,2.8666666666666663,0.75,1.0,0.2519763153394847
deepseek:deepseek-v4-pro,fake_violations,max-position,0.25,turnover_events,5,-0.7333333333333332,-1.7333333333333338,0.0,0.25,1.0,-0.6431758808251544
deepseek:deepseek-v4-pro,fake_violations,max-position,0.75,turnover_events,5,-1.733333333333333,-4.533333333333333,0.06666666666666714,0.3125,1.0,-0.5400866924697881
deepseek:deepseek-v4-pro,fake_violations,none,0.25,turnover_events,5,1.1333333333333333,-0.46666666666666645,2.8666666666666667,0.4375,1.0,0.5355825195389895
deepseek:deepseek-v4-pro,fake_violations,none,0.75,turnover_events,5,-0.6000000000000002,-3.0666666666666673,2.1999999999999993,0.5625,1.0,-0.18595279464327957
glm:glm-5,fake_rejections,max-position,0.25,turnover_events,5,-0.06666666666666643,-0.1999999999999993,0.0,1.0,1.0,-0.4472135954999579
glm:glm-5,fake_rejections,max-position,0.75,turnover_events,5,0.13333333333333358,0.0,0.4000000000000007,1.0,1.0,0.4472135954999579
glm:glm-5,fake_rejections,none,0.25,turnover_events,5,-0.19999999999999965,-2.333333333333333,1.5999999999999996,0.875,1.0,-0.0825722823844769
glm:glm-5,fake_rejections,none,0.75,turnover_events,5,-0.13333333333333358,-2.4,1.8666666666666665,1.0,1.0,-0.04624972900628812
glm:glm-5,fake_violations,max-position,0.25,turnover_events,5,-0.4000000000000007,-0.933333333333335,0.0,0.5,1.0,-0.6708203932499368
glm:glm-5,fake_violations,max-position,0.75,turnover_events,5,-0.4,-0.8666666666666678,-0.06666666666666643,0.25,1.0,-0.7302967433402201
glm:glm-5,fake_violations,none,0.25,turnover_events,5,7.105427357601002e-16,-0.6666666666666657,0.4666666666666675,1.0,1.0,9.089293215919717e-16
glm:glm-5,fake_violations,none,0.75,turnover_events,5,0.2,-1.1333333333333335,1.5333333333333337,0.8125,1.0,0.1148338503526429
poe:claude-opus-4.7,fake_rejections,max-position,0.25,turnover_events,5,0.06666666666666714,0.0,0.20000000000000143,1.0,1.0,0.4472135954999579
poe:claude-opus-4.7,fake_rejections,max-position,0.75,turnover_events,5,0.0,0.0,0.0,1.0,1.0,0.0
poe:claude-opus-4.7,fake_rejections,none,0.25,turnover_events,5,0.5333333333333332,-0.26666666666666605,1.4666666666666661,0.5,1.0,0.47597129384698383
poe:claude-opus-4.7,fake_rejections,none,0.75,turnover_events,5,0.9999999999999998,0.26666666666666644,1.7333333333333332,0.125,0.8571428571428571,1.060660171779821
poe:claude-opus-4.7,fake_violations,max-position,0.25,turnover_events,5,0.06666666666666714,0.0,0.20000000000000143,1.0,1.0,0.4472135954999579
poe:claude-opus-4.7,fake_violations,max-position,0.75,turnover_events,5,0.0,0.0,0.0,1.0,1.0,0.0
poe:claude-opus-4.7,fake_violations,none,0.25,turnover_events,5,1.0666666666666667,0.26666666666666644,2.0666666666666673,0.125,0.8571428571428571,0.8979416532261019
poe:claude-opus-4.7,fake_violations,none,0.75,turnover_events,5,1.0666666666666667,0.26666666666666644,2.2666666666666666,0.125,0.8571428571428571,0.8076071442001097
poe:gemini-3.1-pro,fake_rejections,max-position,0.25,turnover_events,5,-0.6666666666666657,-1.5999999999999985,1.4210854715202005e-15,0.25,1.0,-0.6666666666666657
poe:gemini-3.1-pro,fake_rejections,max-position,0.75,turnover_events,5,-0.4,-1.066666666666667,0.13333333333333428,0.5,1.0,-0.5262348115842168
poe:gemini-3.1-pro,fake_rejections,none,0.25,turnover_events,5,-1.6666666666666665,-2.0666666666666655,-1.2666666666666664,0.0625,0.8571428571428571,-3.1622776601683835
poe:gemini-3.1-pro,fake_rejections,none,0.75,turnover_events,5,-2.466666666666667,-3.5333333333333328,-1.3333333333333346,0.0625,0.8571428571428571,-1.6844303783421473
poe:gemini-3.1-pro,fake_violations,max-position,0.25,turnover_events,5,-0.5333333333333335,-0.6666666666666679,-0.3999999999999993,0.0625,0.8571428571428571,-2.921186973360866
poe:gemini-3.1-pro,fake_violations,max-position,0.75,turnover_events,5,-0.8666666666666668,-2.666666666666667,0.26666666666666716,0.625,1.0,-0.4376087481193616
poe:gemini-3.1-pro,fake_violations,none,0.25,turnover_events,5,-0.7999999999999996,-1.533333333333332,-0.06666666666666714,0.25,1.0,-0.8330521614007484
poe:gemini-3.1-pro,fake_violations,none,0.75,turnover_events,5,-1.7333333333333332,-3.666666666666667,0.20000000000000034,0.25,1.0,-0.6674350322245058
poe:glm-5,fake_rejections,max-position,0.25,turnover_events,5,0.2,-0.13333333333333286,0.6,0.75,1.0,0.39562828403747247
poe:glm-5,fake_rejections,max-position,0.75,turnover_events,5,-7.105427357601002e-16,-0.4,0.3999999999999986,1.0,1.0,-1.348160051933455e-15
poe:glm-5,fake_rejections,none,0.25,turnover_events,5,-0.6666666666666664,-1.4666666666666663,0.06666666666666679,0.375,1.0,-0.6859943405700352
poe:glm-5,fake_rejections,none,0.75,turnover_events,5,-2.0,-3.733333333333333,-0.5333333333333329,0.0625,0.8571428571428571,-0.9669875568304562
poe:glm-5,fake_violations,max-position,0.25,turnover_events,5,-0.13333333333333286,-0.7333333333333328,0.4666666666666671,0.875,1.0,-0.15936381457791876
poe:glm-5,fake_violations,max-position,0.75,turnover_events,5,0.26666666666666644,0.0,0.6666666666666664,0.5,1.0,0.6135719910778958
poe:glm-5,fake_violations,none,0.25,turnover_events,5,-0.06666666666666714,-1.2000000000000006,1.2666666666666664,1.0,1.0,-0.04108240150088833
poe:glm-5,fake_violations,none,0.75,turnover_events,5,-0.7333333333333332,-1.4,-0.26666666666666605,0.125,0.8571428571428571,-0.9647638212377317
poe:gpt-5.5,fake_rejections,max-position,0.25,turnover_events,5,0.0,0.0,0.0,1.0,1.0,0.0
poe:gpt-5.5,fake_rejections,max-position,0.75,turnover_events,5,0.0,0.0,0.0,1.0,1.0,0.0
poe:gpt-5.5,fake_rejections,none,0.25,turnover_events,5,-0.26666666666666644,-0.7333333333333325,0.13333333333333358,0.5,1.0,-0.4868644955601475
poe:gpt-5.5,fake_rejections,none,0.75,turnover_events,5,-1.2666666666666662,-4.0,0.20000000000000143,1.0,1.0,-0.41912897747196015
poe:gpt-5.5,fake_violations,max-position,0.25,turnover_events,5,0.06666666666666643,0.0,0.1999999999999993,1.0,1.0,0.4472135954999579
poe:gpt-5.5,fake_violations,max-position,0.75,turnover_events,5,0.2,0.0,0.4666666666666671,0.5,1.0,0.6708203932499361
